# Converted from ulughbeg.dat — Ulugh Beg (equinox 1437)
# Source: Verbunt & van Gent (2012) A&A 544 A31
# id_flag: 1=secure(nearest) 2=secure(not nearest) 3=probable 4=possible 5=unident 6=repeat
# Skipped: HIP=0 (unidentified) and id_flag=5 (not identified)
# hip;lat_deg;lon_deg;seq;cst;name;mag_ptolema;vmag_hip;id_flag;dist_arcmin
60742;28.2000;166.0667;491;=Leo;"33a=Leo";5;4.3;1;13.1
59847;23.5000;166.4167;492;=Leo;"34a=Leo";5;4.9;1;36.3
61394;24.0000;170.4667;493;=Leo;"35a=Leo";5;4.8;1;9.4
57380;4.6500;166.5167;494;=Vir;"1=Vir";5;4.0;1;13.3
57328;6.2500;166.4167;495;=Vir;"2=Vir";5;4.8;2;57.1
58948;8.4000;170.5167;496;=Vir;"3=Vir";5;4.1;1;39.1
58590;6.1500;170.3167;497;=Vir;"4=Vir";5;4.7;1;36.7
57757;0.1667;168.5167;498;=Vir;"5=Vir";3;3.6;1;51.2
60129;1.5000;177.1167;499;=Vir;"6=Vir";3;3.9;1;10.3
61941;2.9000;182.2167;500;=Vir;"7=Vir";3;2.7;1;10.6
63494;3.0000;186.3667;501;=Vir;"8=Vir";6;6.0;1;62.8
64238;1.6000;190.4167;502;=Vir;"9=Vir";4;4.4;1;10.8
63090;8.7500;184.0167;503;=Vir;"10=Vir";3;3.4;1;21.3
61960;13.5000;177.7667;504;=Vir;"11=Vir";5;4.9;1;8.8
62267;11.3000;180.0167;505;=Vir;"12=Vir";6;5.2;1;30.7
63608;16.2500;181.3167;506;=Vir;"13=Vir";3;2.8;1;45.9
65474;-2.1500;196.1667;507;=Vir;"14=Vir";1;1.0;1;12.9
66249;8.7500;194.9167;508;=Vir;"15=Vir";3;3.4;1;35.6
66006;3.2000;196.2667;509;=Vir;"16=Vir";5;4.7;1;31.0
66098;-0.4000;197.3167;510;=Vir;"17=Vir";6;5.2;1;5.5
66803;1.1500;198.9167;511;=Vir;"18=Vir";5;5.0;1;35.9
67172;-1.5000;201.2167;512;=Vir;"19=Vir";5;5.5;1;9.3
66247;-2.9000;198.4167;513;=Vir;"20=Vir";5;5.9;1;31.6
67929;8.7500;198.9667;514;=Vir;"21=Vir";5;5.2;1;58.1
69701;7.2500;205.8167;515;=Vir;"22=Vir";4;4.1;1;7.3
69427;3.0000;206.8667;516;=Vir;"23=Vir";4;4.2;1;13.6
70755;11.7500;207.6667;517;=Vir;"24=Vir";4;4.8;1;5.0
69974;0.7000;209.1167;518;=Vir;"25=Vir";4;4.5;1;9.9
71957;9.8500;212.6167;519;=Vir;"26=Vir";4;3.9;1;22.6
61740;-3.7000;184.1667;520;=Vir;"27a=Vir";5;4.7;1;18.1
62985;-3.4000;188.1667;521;=Vir;"28a=Vir";5;4.8;1;11.5
64078;-3.3500;191.3167;522;=Vir;"29a=Vir";5;5.2;1;35.6
64407;-8.0000;196.1167;523;=Vir;"30a=Vir";6;5.0;1;72.4
64924;-8.6000;197.3167;524;=Vir;"31a=Vir";5;4.7;1;26.9
67494;-7.7000;204.1667;525;=Vir;"32a=Vir";6;5.0;1;82.2
72622;0.7500;217.8667;526;=Lib;"1=Lib";3;2.8;1;42.6
72489;1.7500;216.5167;527;=Lib;"2=Lib";5;5.3;1;23.5
74785;8.7500;221.9667;528;=Lib;"3=Lib";3;2.6;1;28.2
73473;8.6000;217.9667;529;=Lib;"4=Lib";5;4.9;1;36.0
74392;-1.7667;223.2667;530;=Lib;"5=Lib";4;4.5;1;6.3
73945;1.1500;220.7667;531;=Lib;"6=Lib";5;5.2;1;11.7
76333;4.7500;227.8167;532;=Lib;"7=Lib";4;3.9;1;37.0
77853;2.9500;232.0667;533;=Lib;"8=Lib";4;4.1;1;34.0
76219;8.7000;225.9167;534;=Lib;"9a=Lib";5;4.6;1;18.9
78207;6.5000;232.7667;535;=Lib;"10a=Lib";4;4.9;1;24.4
78727;8.9000;233.4167;536;=Lib;"11a=Lib";4;4.2;1;24.0
77811;0.6000;232.4167;537;=Lib;"12a=Lib";6;5.0;1;29.6
77060;3.2000;229.6667;538;=Lib;"13a=Lib";6;5.4;1;53.3
