"hip";"lat";"lon";"hr";"hd";"name";"almagest_number"
6411;34.5;12.67;390;8207;"46Xi And";355
6813;32.5;14.17;417;8799;"48Ome And";356
113726;44;341.67;8762;217675;"1Omi And";357
8796;16.5;11;544;11443;"2Alp Tri";358
10064;20.67;16;622;13161;"4Bet Tri";359
10644;19.67;16.33;660;13974;"8Del Tri";360
10670;19;16.83;664;14055;"9Gam Tri";361
8832;7.33;6.67;546;11503;"5Gam2Ari";362
8903;8.33;7.67;553;11636;"6Bet Ari";363
10306;7.67;11;646;13555;"17Eta Ari";364
10732;6;11.5;669;14191;"22The Ari";365
9110;5.83;6.83;563;11909;"8Iot Ari";366
12332;6;17.67;773;16432;"32Nu Ari";367
13914;4.83;21.33;887;18519;"48Eps Ari";368
14838;1.67;23.83;951;19787;"57Del Ari";369
15110;2.5;25.33;972;20150;"58Zet Ari";370
15627;1.83;27;1005;20756;"61Tau1Ari";371
13702;1.5;19.67;869;18256;"46Rho3Ari";372
13327;-1.5;18;847;17769;"43Sig Ari";373
12828;-5.25;15;813;17094;"87Mu Cet";374
9884;10.5;10.67;617;12929;"13Alp Ari";375
13209;10.17;21.67;838;17573;"41 Ari";376
13061;12.67;21.33;824;17361;"39 Ari";377
12719;11.17;19.67;801;16908;"35 Ari";378
12489;10.67;19.17;782;16628;"33 Ari";379
16369;-6;26.33;1066;21754;"5 Tau";380
16322;-7.25;26;1061;21686;"4 Tau";381
16083;-8.5;24.33;1038;21364;"2Xi Tau";382
15900;-9.25;24.33;1030;21120;"1Omi Tau";383
17771;-9.5;29.67;1174;23793;"30 Tau";384
18724;-8;33.67;1239;25204;"35Lam Tau";385
19860;-12.67;36.67;1320;26912;"49Mu Tau";386
18907;-14.83;33;1251;25490;"38Nu Tau";387
21589;-10;42.17;1473;29388;"90 Tau";388
21402;-13;43;1458;29140;"88 Tau";389
20205;-5.75;39;1346;27371;"54Gam Tau";390
20455;-4.25;40.33;1373;27697;"61Del1Tau";391
20885;-5.83;40.83;1411;28307;"77The1Tau";392
21421;-5.17;42.67;1457;29139;"87Alp Tau";393
20889;-3;41.83;1409;28305;"74Eps Tau";394
22565;-4;47.17;1547;30780;"97 Tau";395
23835;-5;50.33;1656;32923;"104 Tau";396
23871;-3.5;50;1658;32977;"106 Tau";397
26451;-2.5;57.67;1910;37202;"123Zet Tau";398
